2020-11-21 17:13:28.506 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2020-11-21 17:13:30.171 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2020-11-21 17:13:30.675 [main] INFO  com.soft1851.admin.Application - The following profiles are active: dev
2020-11-21 17:13:33.061 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-21 17:13:33.065 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-21 17:13:33.154 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18ms. Found 0 Redis repository interfaces.
2020-11-21 17:13:33.390 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.soft1851.admin]' package. Please check your configuration.
2020-11-21 17:13:33.790 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=5ce4f3b2-bbef-3f52-8253-8ca8b14d84a3
2020-11-21 17:13:34.932 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8005 (http)
2020-11-21 17:13:34.947 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8005"]
2020-11-21 17:13:34.948 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-11-21 17:13:34.948 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-11-21 17:13:35.145 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-21 17:13:35.145 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4419 ms
2020-11-21 17:13:38.131 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-21 17:13:38.131 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-21 17:13:38.191 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-21 17:13:38.191 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-21 17:13:38.701 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-21 17:13:39.005 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-11-21 17:13:39.006 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-11-21 17:13:39.007 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-11-21 17:13:39.007 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2020-11-21 17:13:40.052 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8005"]
2020-11-21 17:13:40.092 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8005 (http) with context path ''
2020-11-21 17:13:40.421 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-21 17:13:40.442 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-21 17:13:40.451 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-11-21 17:13:40.944 [main] INFO  com.soft1851.admin.Application - Started Application in 13.773 seconds (JVM running for 15.469)
2020-11-21 18:02:51.327 [http-nio-8005-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-21 18:02:51.328 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-21 18:02:51.337 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2020-11-21 18:04:24.809 [http-nio-8005-exec-9] INFO  c.s.api.aspect.ServiceLogAspect - ==== 开始执行 class com.soft1851.admin.service.impl.AdminUserServiceImpl.queryAdminByUsername====
2020-11-21 18:04:24.992 [http-nio-8005-exec-9] INFO  com.zaxxer.hikari.HikariDataSource - DateSourceHikariCP - Starting...
2020-11-21 18:04:24.994 [http-nio-8005-exec-9] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2020-11-21 18:04:25.740 [http-nio-8005-exec-9] INFO  com.zaxxer.hikari.HikariDataSource - DateSourceHikariCP - Start completed.
2020-11-21 18:04:25.856 [http-nio-8005-exec-9] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时：1046
2020-11-21 18:04:58.995 [http-nio-8005-exec-8] INFO  c.s.api.aspect.ServiceLogAspect - ==== 开始执行 class com.soft1851.admin.service.impl.AdminUserServiceImpl.queryAdminByUsername====
2020-11-21 18:04:59.001 [http-nio-8005-exec-8] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时：6
2020-11-21 18:05:10.559 [http-nio-8005-exec-2] INFO  c.s.api.aspect.ServiceLogAspect - ==== 开始执行 class com.soft1851.admin.service.impl.AdminUserServiceImpl.queryAdminByUsername====
2020-11-21 18:05:10.566 [http-nio-8005-exec-2] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时：7
2020-11-21 18:08:27.016 [http-nio-8005-exec-4] INFO  c.s.api.aspect.ServiceLogAspect - ==== 开始执行 class com.soft1851.admin.service.impl.AdminUserServiceImpl.queryAdminByUsername====
2020-11-21 18:08:27.019 [http-nio-8005-exec-4] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时：3
2020-11-21 18:08:37.974 [http-nio-8005-exec-6] INFO  c.s.api.aspect.ServiceLogAspect - ==== 开始执行 class com.soft1851.admin.service.impl.AdminUserServiceImpl.queryAdminByUsername====
2020-11-21 18:08:37.977 [http-nio-8005-exec-6] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时：3
2020-11-21 23:13:11.355 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2020-11-21 23:13:11.750 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
